run_at,symbol,month,state,expected_missing,rows_returned,rows_accepted,rows_added,rows_rejected,remaining,attempts,suspension_status,no_data_sessions,registry_confirmed_no_trade
2026-09-21 22:47:33,5903,2016-12,MARKET_OPEN_SYMBOL_NO_DATA,2,20,0,0,0,2,1,SUSPENSION_STATUS_UNKNOWN,2016-12-26;2016-12-27,
2026-09-21 22:47:33,5903,2021-06,MARKET_OPEN_SYMBOL_NO_DATA,1,20,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2021-06-09,
2026-09-21 22:47:33,5903,2021-10,MARKET_OPEN_SYMBOL_NO_DATA,1,19,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2021-10-27,
2026-09-21 22:47:33,5903,2022-10,MARKET_OPEN_SYMBOL_NO_DATA,1,19,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2022-10-07,
2026-09-21 22:47:33,5903,2023-09,MARKET_OPEN_SYMBOL_NO_DATA,2,18,0,0,0,2,1,SUSPENSION_STATUS_UNKNOWN,2023-09-15;2023-09-20,
2026-09-21 22:47:33,6414,2016-10,MARKET_OPEN_SYMBOL_NO_DATA,1,19,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2016-10-12,
2026-09-21 22:47:33,6414,2018-03,MARKET_OPEN_SYMBOL_NO_DATA,1,22,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2018-03-30,
2026-09-21 22:47:33,6770,2022-10,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,9904,2020-07,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,9910,2019-09,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,9914,2022-02,FETCH_OK,15,15,15,15,0,0,1,,,
2026-09-21 22:47:33,9921,2023-05,FETCH_OK,22,22,22,22,0,0,1,,,
2026-09-21 22:47:33,9933,2022-04,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,9945,2018-09,MARKET_OPEN_SYMBOL_NO_DATA,2,17,0,0,0,2,1,SUSPENSION_STATUS_UNKNOWN,2018-09-27;2018-09-28,
2026-09-21 22:47:33,9945,2018-10,MARKET_OPEN_SYMBOL_NO_DATA,5,17,0,0,0,5,1,SUSPENSION_STATUS_UNKNOWN,2018-10-01;2018-10-02;2018-10-03;2018-10-04;2018-10-05,
2026-09-21 22:47:33,9945,2023-09,MARKET_OPEN_SYMBOL_NO_DATA,7,13,0,0,0,7,1,SUSPENSION_STATUS_UNKNOWN,2023-09-14;2023-09-15;2023-09-18;2023-09-19;2023-09-20;2023-09-21;2023-09-22,
