item,recipe,cell,refit_date,seed,epoch,train_loss,val_ic
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,1,0.3331,-0.05465
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,2,0.33292,0.01265
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,3,0.33269,0.0126
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,4,0.33252,0.01184
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,5,0.33211,0.01057
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,6,0.33188,0.01412
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,7,0.33166,0.05394
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,8,0.33151,0.00027
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,9,0.33108,-0.02404
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,10,0.33089,-0.00771
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,11,0.33117,-0.0255
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,12,0.33056,-0.01758
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,13,0.33044,-0.04759
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,14,0.33019,-0.02181
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,15,0.33022,0.03692
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,16,0.32974,0.00019
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,0,17,0.32955,0.00412
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,0,0.33548,-0.01315
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,1,0.33332,0.03185
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,2,0.33321,0.03527
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,3,0.33267,0.03689
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,4,0.3323,0.06255
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,5,0.33175,0.10563
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,6,0.3311,0.09183
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,7,0.33084,0.09801
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,8,0.33018,0.09616
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,9,0.32979,0.07267
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,10,0.32936,0.09064
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,11,0.32908,0.09495
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,12,0.32868,0.08764
P2E_Wall_baseline_E50p10m10,Wall_baseline,E50p10m10,2023-07-20,1,13,0.32821,0.04457
