window,signal,config,cost_bps,sharpe,max_dd,ann_ret,yearly,short_hit_rate,short_mae_mean,turnover_long,turnover_short,avg_n_short,avg_n_excluded,max_short_sector_w
BR,blend50,L100_S50,60,1.32,-0.2988,0.3055,"{""2021"": 1.06, ""2022"": -0.5, ""2023"": 2.27, ""2024"": 1.34, ""2025"": 1.34, ""2026"": 3.09}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100_S100_net0,60,1.048,-0.3291,0.2426,"{""2021"": 0.72, ""2022"": -0.7, ""2023"": 1.62, ""2024"": 1.9, ""2025"": 0.97, ""2026"": 2.52}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,S100_diagnostic,60,-0.639,-0.5381,-0.1257,"{""2021"": -1.64, ""2022"": -0.3, ""2023"": -0.76, ""2024"": 0.72, ""2025"": -0.57, ""2026"": -2.93}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100,100,1.308,-0.3243,0.3535,"{""2021"": 1.25, ""2022"": -0.23, ""2023"": 2.63, ""2024"": 0.67, ""2025"": 1.28, ""2026"": 3.51}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100_S50,100,1.168,-0.3309,0.2709,"{""2021"": 0.93, ""2022"": -0.69, ""2023"": 2.07, ""2024"": 1.13, ""2025"": 1.2, ""2026"": 2.99}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100_S100_net0,100,0.811,-0.38,0.1884,"{""2021"": 0.5, ""2022"": -0.97, ""2023"": 1.37, ""2024"": 1.53, ""2025"": 0.76, ""2026"": 2.36}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,S100_diagnostic,100,-0.84,-0.6234,-0.1651,"{""2021"": -1.95, ""2022"": -0.44, ""2023"": -1.02, ""2024"": 0.44, ""2025"": -0.7, ""2026"": -3.19}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100,150,1.238,-0.34,0.3348,"{""2021"": 1.19, ""2022"": -0.31, ""2023"": 2.52, ""2024"": 0.58, ""2025"": 1.21, ""2026"": 3.46}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100_S50,150,0.979,-0.3692,0.2277,"{""2021"": 0.77, ""2022"": -0.92, ""2023"": 1.83, ""2024"": 0.85, ""2025"": 1.02, ""2026"": 2.87}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100_S100_net0,150,0.517,-0.4385,0.1206,"{""2021"": 0.24, ""2022"": -1.31, ""2023"": 1.05, ""2024"": 1.03, ""2025"": 0.5, ""2026"": 2.16}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,S100_diagnostic,150,-1.09,-0.7084,-0.2142,"{""2021"": -2.33, ""2022"": -0.6, ""2023"": -1.35, ""2024"": 0.11, ""2025"": -0.88, ""2026"": -3.49}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100,200,1.168,-0.3554,0.3162,"{""2021"": 1.13, ""2022"": -0.38, ""2023"": 2.4, ""2024"": 0.49, ""2025"": 1.15, ""2026"": 3.41}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100_S50,200,0.79,-0.4054,0.1845,"{""2021"": 0.62, ""2022"": -1.15, ""2023"": 1.58, ""2024"": 0.55, ""2025"": 0.85, ""2026"": 2.74}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,L100_S100_net0,200,0.225,-0.5199,0.0528,"{""2021"": -0.0, ""2022"": -1.63, ""2023"": 0.73, ""2024"": 0.49, ""2025"": 0.24, ""2026"": 1.96}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
BR,blend50,S100_diagnostic,200,-1.339,-0.7745,-0.2634,"{""2021"": -2.71, ""2022"": -0.77, ""2023"": -1.68, ""2024"": -0.21, ""2025"": -1.05, ""2026"": -3.79}",0.488,0.1566,0.296,0.39,13.9,7.2,0.5
