window,signal,date,stock,fwd_20,short_pnl_contrib
BR,d12,2022-01-25,2027,0.19501133,-0.013929380714285714
BR,d12,2022-01-25,2606,0.14124294,-0.010088781428571428
BR,d12,2022-03-04,1802,0.116228074,-0.009685672833333332
BR,d12,2022-03-04,2401,0.10843374,-0.009036144999999999
BR,d12,2022-03-04,3711,0.045081966,-0.0037568305
BR,d12,2022-03-04,1210,0.018450184,-0.0015375153333333333
BR,d12,2022-03-04,2912,0.013409962,-0.0011174968333333333
BR,d12,2022-04-01,1476,0.03785489,-0.002703920714285714
BR,d12,2022-04-01,9910,0.015665796,-0.0011189854285714284
BR,d12,2022-04-01,9914,0.008097166,-0.0005783689999999999
BR,d12,2022-04-01,2379,0.004842615,-0.0003459010714285714
BR,d12,2022-04-01,9904,-0.010971786,0.000783699
BR,d12,2022-05-04,3443,0.11065574,-0.007903981428571428
BR,d12,2022-05-04,2454,0.06777646,-0.0048411757142857136
BR,d12,2022-05-04,2379,0.063855425,-0.004561101785714285
BR,d12,2022-05-04,2377,0.051587302,-0.0036848072857142856
BR,d12,2022-05-04,2615,0.035947714,-0.002567693857142857
BR,d12,2022-06-01,3008,0.011976048,-0.0008554319999999999
BR,d12,2022-06-01,1101,-0.0323741,0.002312435714285714
BR,d12,2022-06-01,2345,-0.048672568,0.0034766119999999996
BR,d12,2022-06-01,2308,-0.063424945,0.004530353214285714
BR,d12,2022-06-01,2881,-0.08477237,0.006055169285714286
BR,d12,2022-06-30,2603,0.19674185,-0.014052989285714284
BR,d12,2022-06-30,2344,0.15461347,-0.011043819285714285
BR,d12,2022-06-30,2376,0.121472396,-0.008676599714285714
BR,d12,2022-06-30,2454,0.11601307,-0.008286647857142856
BR,d12,2022-06-30,3661,0.10485133,-0.007489380714285714
BR,d12,2022-07-28,2409,0.20973782,-0.014981272857142855
BR,d12,2022-07-28,3661,0.17280453,-0.012343180714285714
BR,d12,2022-07-28,1476,0.121323526,-0.008665966142857142
BR,d12,2022-07-28,2883,0.065891474,-0.004706533857142857
